BBL,Calendar Year,Fuel Oil,Electricity,Natural Gas,Others
1009960021,2022,0.0,133.475304306,33.485855,135.846749107
1019017501,2022,0.0,118.70674544799999,129.041372311,0.0
1006930064,2022,0.0,131.587804522,37.171689,0.0
1020870038,2022,0.0,37.055619994,167.333703555,0.0
1021360106,2022,0.0,71.323334612,9.023389,0.0
1021180001,2022,0.0,86.26151416399999,177.036858067,0.0
1020720064,2022,0.0,76.040639262,137.533677244,0.0
1020710036,2022,0.0,117.1677049398,289.75221637799996,0.0
1021090041,2022,0.0,53.943137197999995,257.912792622,0.0
1021140005,2022,0.0,88.97717904,220.066596,0.0
1021150001,2022,358.175247732,79.952028894,24.340313,0.0
1020880087,2022,0.0,32.968830428,92.167104622,0.0
1020070002,2022,0.0,48.460950133999994,218.59544368899998,0.0
1020870097,2022,260.387179743,54.471359733999996,47.639669999999995,0.0
1020480021,2022,0.0,105.08247610999999,27.468491999999998,0.0
1020830001,2022,0.0,108.10790825,327.13106093299996,0.0
1020980023,2022,0.0,38.036934945999995,6.309468,0.0
2032180035,2022,0.0,150.9618108398,37.092024,0.0
1012720034,2022,0.0,488.52028415179996,0.0,95.64102178899999
1012727502,2022,0.0,350.49405951539995,0.0,50.644808448
5075770003,2022,0.0,16.10385226,140.449384378,0.0
1006240041,2022,0.0,38.818866117999995,151.77775268899998,0.0
1005520010,2022,0.0,27.197392402,65.803295311,0.0
1007400001,2022,0.0,1404.9116296424,837.390681,0.0
1010090044,2022,0.0,645.4260144354,223.91177593299997,0.0
3067390057,2022,0.0,58.009988385999996,1.0144009999999999,0.0
2043400008,2022,0.0,42.829080753999996,59.376979999999996,0.0
3004650033,2022,0.0,0.0,0.0,0.0
3004650029,2022,0.0,0.0,0.0,0.0
3009800075,2022,0.0,108.43212361399999,60.152386,0.0
3043680001,2022,0.0,103.94512167799999,65.426209,0.0
1020720001,2022,318.358295229,57.02607277599999,22.109693,0.0
1012430001,2022,0.0,54.31965468399999,0.010622,0.0
2028660020,2022,0.0,46.635866142,150.439375378,0.0
2028770516,2022,0.0,54.334391745999994,115.971006622,0.0
2027990025,2022,0.0,51.49765179199999,187.462372311,0.0
1007790057,2022,239.86421871799996,248.24346879779998,0.122153,0.0
1009090028,2022,112.650787421,234.07219439379998,211.616789689,0.0
3064980030,2022,0.0,91.73821095,38.966806999999996,0.0
3064980032,2022,0.0,128.2595113098,30.564805,0.0
3007710110,2022,0.0,112.74138502379999,70.933721311,0.0
3008120001,2022,0.0,44.903538952,43.544889,0.0
3008120020,2022,0.0,32.594335676,0.0,0.0
1013057501,2022,0.0,1085.228721301,56.30721668899999,38.894678904
2029260002,2022,0.0,613.7829705595999,178.274337,0.0
1007580028,2022,342.466360229,365.9867860416,0.0,0.0
3088180043,2022,0.0,128.729103456,507.057097689,0.0
4015450033,2022,0.0,114.7528495058,413.84374199999996,0.0
3008440013,2022,0.0,10.522262267999999,18.089266,0.0
2043370032,2022,245.79374613799996,59.82842625199999,12.151568,0.0
2043400086,2022,0.0,41.955837589999994,121.83432937799999,0.0
3067660086,2022,0.0,117.6973722858,7.1061179999999995,0.0
3002370020,2022,0.0,50.35943047399999,43.677664,0.0
1014140013,2022,0.0,36.042808183999995,58.203249,0.0
